Experiment_Name,Function,Dimension,Selection,Crossover_Rate,Mutation_Multiplier,Initial_Mutation_Rate,Best_Score,Mean_Score,Std_Dev,Iterations,Population_Size,Stagnation_Limit,Number_of_Runs,Avg_Time_Seconds
Michalewicz_D30_Tournament_C0.8_M2.0,Michalewicz,30,Tournament,0.8,2.0,0.004444,-28.16682681,-25.21391659,1.25163463,400,150,50.0,30,1.52
Michalewicz_D30_Tournament_C0.8_M4.0,Michalewicz,30,Tournament,0.8,4.0,0.008889,-26.78481294,-25.12042269,0.9641385,400,150,50.0,30,1.53
Michalewicz_D30_Tournament_C0.9_M1.0,Michalewicz,30,Tournament,0.9,1.0,0.002222,-27.73120939,-25.72867277,1.134482,400,150,50.0,30,1.55
Michalewicz_D30_Tournament_C0.9_M2.0,Michalewicz,30,Tournament,0.9,2.0,0.004444,-27.97415325,-25.71760385,0.92438105,400,150,50.0,30,1.56
Michalewicz_D30_Tournament_C0.9_M4.0,Michalewicz,30,Tournament,0.9,4.0,0.008889,-27.62403663,-25.63864711,1.03113133,400,150,50.0,30,1.57
Rastrigin_D100_Roulette_C0.7_M1.0,Rastrigin,100,Roulette,0.7,1.0,0.000588,194.00592725,225.35676766,17.81100232,400,150,50.0,30,2.9
Rastrigin_D100_Roulette_C0.7_M2.0,Rastrigin,100,Roulette,0.7,2.0,0.001176,188.34108429,223.71397448,18.92368175,400,150,50.0,30,2.9
Rastrigin_D100_Roulette_C0.7_M4.0,Rastrigin,100,Roulette,0.7,4.0,0.002353,195.1981256,225.89649862,16.34660333,400,150,50.0,30,2.89
Rastrigin_D100_Roulette_C0.8_M1.0,Rastrigin,100,Roulette,0.8,1.0,0.000588,186.49653076,231.38911405,17.52338202,400,150,50.0,30,2.86
Rastrigin_D100_Roulette_C0.8_M2.0,Rastrigin,100,Roulette,0.8,2.0,0.001176,194.93815184,224.98321182,18.08988236,400,150,50.0,30,2.84
Rastrigin_D100_Roulette_C0.8_M4.0,Rastrigin,100,Roulette,0.8,4.0,0.002353,189.06724228,218.19470422,14.08846096,400,150,50.0,30,2.88
Rastrigin_D100_Roulette_C0.9_M1.0,Rastrigin,100,Roulette,0.9,1.0,0.000588,194.61159778,231.91889403,18.53465007,400,150,50.0,30,2.91
Rastrigin_D100_Roulette_C0.9_M2.0,Rastrigin,100,Roulette,0.9,2.0,0.001176,201.30205547,230.96449105,14.22743127,400,150,50.0,30,2.93
Rastrigin_D100_Roulette_C0.9_M4.0,Rastrigin,100,Roulette,0.9,4.0,0.002353,182.15349856,224.0067662,16.23373299,400,150,50.0,30,2.99
Rastrigin_D100_Tournament_C0.7_M1.0,Rastrigin,100,Tournament,0.7,1.0,0.000588,165.85024572,217.27575005,22.0386028,400,150,50.0,30,2.63
Rastrigin_D100_Tournament_C0.7_M2.0,Rastrigin,100,Tournament,0.7,2.0,0.001176,182.22637563,210.42919123,12.4644288,400,150,50.0,30,2.55
Rastrigin_D100_Tournament_C0.7_M4.0,Rastrigin,100,Tournament,0.7,4.0,0.002353,162.00743512,205.98835624,19.05277023,400,150,50.0,30,2.55
Rastrigin_D100_Tournament_C0.8_M1.0,Rastrigin,100,Tournament,0.8,1.0,0.000588,164.57718322,205.52057481,20.64869122,400,150,50.0,30,2.56
Rastrigin_D100_Tournament_C0.8_M2.0,Rastrigin,100,Tournament,0.8,2.0,0.001176,162.08611822,203.36523782,22.15596887,400,150,50.0,30,2.57
Rastrigin_D100_Tournament_C0.8_M4.0,Rastrigin,100,Tournament,0.8,4.0,0.002353,161.74554448,196.83813865,17.37822606,400,150,50.0,30,2.58
Rastrigin_D100_Tournament_C0.9_M1.0,Rastrigin,100,Tournament,0.9,1.0,0.000588,163.76054133,194.61355622,16.5283414,400,150,50.0,30,2.63
Rastrigin_D100_Tournament_C0.9_M2.0,Rastrigin,100,Tournament,0.9,2.0,0.001176,141.26093134,191.60598392,17.73602823,400,150,50.0,30,2.63
Rastrigin_D100_Tournament_C0.9_M4.0,Rastrigin,100,Tournament,0.9,4.0,0.002353,143.22241039,183.36095874,18.18499356,400,150,50.0,30,2.65
Rastrigin_D2_Roulette_C0.7_M1.0,Rastrigin,2,Roulette,0.7,1.0,0.029412,6.1e-07,0.79596707,1.31996063,200,100,,30,0.5
Rastrigin_D2_Roulette_C0.7_M2.0,Rastrigin,2,Roulette,0.7,2.0,0.058824,6.1e-07,0.0331659,0.17860057,200,100,,30,0.5
Rastrigin_D2_Roulette_C0.7_M4.0,Rastrigin,2,Roulette,0.7,4.0,0.117647,6.1e-07,6.1e-07,0.0,200,100,,30,0.51
Rastrigin_D2_Roulette_C0.8_M1.0,Rastrigin,2,Roulette,0.8,1.0,0.029412,6.1e-07,0.33165339,0.82580851,200,100,,30,0.5
Rastrigin_D2_Roulette_C0.8_M2.0,Rastrigin,2,Roulette,0.8,2.0,0.058824,6.1e-07,0.0331659,0.17860057,200,100,,30,0.54
Rastrigin_D2_Roulette_C0.8_M4.0,Rastrigin,2,Roulette,0.8,4.0,0.117647,6.1e-07,6.1e-07,0.0,200,100,,30,0.5
Rastrigin_D2_Roulette_C0.9_M1.0,Rastrigin,2,Roulette,0.9,1.0,0.029412,6.1e-07,0.2984881,0.77708699,200,100,,30,0.51
Rastrigin_D2_Roulette_C0.9_M2.0,Rastrigin,2,Roulette,0.9,2.0,0.058824,6.1e-07,0.0331659,0.17860057,200,100,,30,0.5
Rastrigin_D2_Roulette_C0.9_M4.0,Rastrigin,2,Roulette,0.9,4.0,0.117647,6.1e-07,6.1e-07,0.0,200,100,,30,0.51
Rastrigin_D2_Tournament_C0.7_M1.0,Rastrigin,2,Tournament,0.7,1.0,0.029412,6.1e-07,0.13266178,0.33822095,200,100,,30,0.45
Rastrigin_D2_Tournament_C0.7_M2.0,Rastrigin,2,Tournament,0.7,2.0,0.058824,6.1e-07,6.1e-07,0.0,200,100,,30,0.47
Rastrigin_D2_Tournament_C0.7_M4.0,Rastrigin,2,Tournament,0.7,4.0,0.117647,6.1e-07,6.1e-07,0.0,200,100,,30,0.69
Rastrigin_D2_Tournament_C0.8_M1.0,Rastrigin,2,Tournament,0.8,1.0,0.029412,6.1e-07,0.09949648,0.29848763,200,100,,30,0.63
Rastrigin_D2_Tournament_C0.8_M2.0,Rastrigin,2,Tournament,0.8,2.0,0.058824,6.1e-07,6.1e-07,0.0,200,100,,30,0.59
